数据应用及系统解决方案膜集成技术整体解决方案及成套设备
固废危废无害化处置收入船舶加工产品
轨道交通及专用汽车零部件铁矿石贸易
神经节苷脂钠原料药通信供电系统设备
建筑分部原油及天然气销售现代服务业
安全咨询与运维服务航空惯性导航产品
粉粒料全自动包装码垛成套设备三片罐
通讯终端销售电能质量治理装备及其它
资产管理信息智能终端博物馆展示系统
光伏逆变器等电力转换设备医疗金融
船用齿轮箱产品研发检测及二次设备
电力检测及电力设备产品自制化工品
精密光电薄膜元器件随钻设备及服务
智能终端渠道分销与服务产品及器件
轻型商用压缩机电机全屋定制及衣柜
专利专有设备及通用设备销售发电机
显微镜制造业冰箱压缩机用配套产品
远红外理疗房智慧校园应用解决方案
港务管理及拖轮收入汽车后处理系统
按摩椅普通高分子材料轻型工业用带
静态视觉服务大型结构健康监测系统
工程机械配套大型铸锻件汽车零部件
银行现金流转内控系统盐酸埃克替尼
租赁收入行业智能化产品及运营服务
交通运输装备及相关服务分部间抵销
层状复合电接触功能复合材料及元件
网络安全与自主可控网络通讯终端类
液晶显示行业广告及互联网推广服务
第三方软硬件注射用鼠神经生长因子
第三代轮毂轴承单元电动汽车充电机
节能灯具路灯改造工程的设计及施工
新能源开发资产全寿命周期管理系列
项目年度品牌咨询委托管理服务收入
卖场销售及商贸物流类金融收入净额
陶瓷膜及水处理设备销售医药中间体
中水处理及中水配套工程工程与贸易
电子支付密码系统清洁能源综合服务
电梯关键部件广播电视系列芯片产品
服务区经营及广告影院运营管理分部
振镜系列智能制造及机器人应用产品
定制软件开发和销售风险管理类系统
系统集成物流与仓储自动化设备系统
停车场系统农牧及农副产品加工机械
石英管棒新能源及清洁能源环卫装备
定制衣柜及其配套家居产品精密模具
自动化装配与检测生产线及系统集成
镁合金类产品压缩机及相关制冷设备
汽车安全气囊气体发生器服饰及制品
嵌入式系统及元器件测试超纤光面革
中枢神经系统疾病治疗领域核心产品
生态功能性合成革固体激光产品系列
项目前期品牌咨询委托管理服务收入
建筑幕墙工程中高压断路器操作机构
基因工程药教育产品及管理解决方案
工业电源定制橱柜及其配套家居产品
混凝土机械系统集成及行业解决方案
新型智能控制器及智能硬件系列产品
鞋材金属塑料聚合物自润滑卷制轴承
私募股权基金管理与另类投资抛晶砖
来自客户合同的收入房地产销售收入
合同能源管理项目效益智能家居系统
城市燃气高纯工艺集成系统智能水表
太阳能发电燃气供应及其相关收入
光缆用特种环保聚烯烃高分子材料
笔记本电脑触控板及按键小贷金融
烟气脱硫设施的运营维护服务收入
无线网络优化覆盖设备及解决方案
数据中心工程和智能建筑纺织分部
伪装涂料及数码迷彩涂装工程服务
技术开发移动互联网广告展示服务
技术咨询与服务业功能性材料销售
商业智能油田环保设备及相关服务
周转材料及设备租赁销售园林工程
航空零件及工装设计制造市场推广
重组人胰岛素原料药及注射剂产品
印刷包装类产品偏苯三酸酐及酯类
包装材料全球移动大数据流量分发
园林养护物联网公用事业综合服务
压裂设备及相关服务智能制造服务
远程实时燃气监控系统及系统软件
跨境多式联运综合物流服务无缝管
海上安装及海管铺设收入芯片封测
智能制造及核心部件系统建设服务
非主要汽车零部件加工服务及其它
商贸土建动静压座式滑动轴承系列
心血管系统疾病治疗领域核心产品
柔性自动化装备与工业机器人系统
工业炸药电力管理服务及工程收入
电影及衍生品通信电缆及光纤光缆
纤维素及其衍生物类产品软件销售
轴承部套件新材料及石化产品销售
通用弹簧信息技术服务业传统营销
食品包装铝材定制化电子电器组件
神经外科类产品注射用脑蛋白粉针
温控器及配件软件产品及服务收入
校内内容及服务绿色环保家居用品
生产指挥及运输调度信息化类产品
表面活性剂产品销售功能性材料类
软件及系统集成煤炭板块报告分部
电力核苷及核苷酸原料药及中间体
煤炭产品筑路设备及起重机械销售
路况快速检测系统开发与集成收入
电子数据鉴定及信息安全相关服务
日杂文体类机器人及相关设备制造
软件解决方案及专业服务电子材料
电子设备与系统集成广告创意服务
金融资讯及数据移动终端服务系统
环保设备及配件体外诊断试剂原料
平台交付及运维金属制品检测服务
海洋防务及海洋开发装备船员租赁
智能机器视觉检测类设备反应容器
快速诊断试剂军用自主可控计算机
卫星研制及航天技术应用软磁材料
锰及锰系产品内贸航空及衍生产品
多媒体指挥调度系统电力操作电源
分部间抵销食品味觉性状优化产品
机车车辆整备与检修作业控制系统
景观照明头孢侧链活性酯系列产品
座舱空调系统聚合物类锂离子电池
优易付计费及互联网广告精准投放
水处理工程服务及膜产品销售收入
分部间抵销压缩机及相关制冷设备
微通道单元卫星电视用户终端设备
新能源汽车电连接系统及控制模组
多媒体信息系统工商用智能燃气表
外购软硬件销售软件技术服务收入
生态景观其它功能性设备及配套件
消费类电脑及通讯产品金属结构件
数控立式加工中心分部间相互抵减
风力发电塔架制造等移动阅读平台
未分配的金额一般图书及音像制品
食品饮料香河运河国际生态城一期
衬衫及牛仔自动缝制设备非汽车件
汽车电控零组件及汽车轻量化零件
数控机床等高端装备金融专用设备
石墨产品移动信息产品销售与服务
电动汽车电机控制器神经系统用药
高性能特种橡胶胶粘带及其配套用
系统集成天然气加气设备及零部件
终端产品线上分销分部租金收入
血液系统疾病治疗领域核心产品
数字通讯芯片及系统级应用产品
金属及多材质复合船艇橡胶制品
成型填充封口系列技术产品销售
聚合物聚合增粘及回收技术服务
液体散货处理及配套服务锂电池
四轮车实验动物及附属产品销售
系列柜式空调用风机负载类电机
互联网手游收入通用设备制造业
触显一体化模组双金属复合钢带
证券公司综合服务系统融资租赁
软件技术人员劳务输出自主产品
技术服务收入园区产业载体租赁
大型直线振动筛汽车销售与维修
高强弹性零件肠溶明胶空心胶囊
大宗贸易及供应链服务系列产品
网点智能化集成与设备水库工程
宽带及数据通信收入机械和产品
纺丝项目整体工程技术解决方案
城市服务业设备销售及租赁收入
与电动汽车相关材料及功能材料
易拉罐高速生产设备及系统改造
通信与信息化集成服务医疗器械
笔记本电脑键盘薄膜开关线路板
互联网广告明胶系列及磷酸氢钙
低温储运应用设备基础设施服务
智能中压供用电设备细胞培养基
聚合项目整体工程技术解决方案
中小尺寸防护玻璃机械制造行业
基因测序技术服务电池片及组件
学费及住宿费收入风电产品分部
高低压成套设备航空维修及服务
颜色标准及可持续发展解决方案
有线电视网络同轴电缆传输设备
半导体封测装备类产品园艺用品
系列中央空调用风机负载类电机
智慧政企应用解决方案领域产品
运输装备整车及零配件医药行业
电力电容器通信工程及系统集成
仓库技术及供应链解决方案服务
客运服务收入批发交易市场收入
制糖产品微电子及金融与安全类
化工及液态食品装备房地产出租
槽型全塑型换向器数据采集设备
发动机控制系统及衍生产品啤酒
电能表标准与校验装置产品系列
动力锂电池材料产品普通合成革
工业废物资源化利用牛皮革销售
体外诊断试剂生物医疗材料板块
游戏板块节能与工业传动类产品
化工产品贸易营业收入管理服务
工程机械部件轨道板销售及劳务
防静电超净技术产品光有源器件
天然气设备制造安保及相关产业
大数据信息化平台设计技术服务
写字楼出租基金管理及养老服务
增值税防伪税控系统及相关设备
纯金制品可充电交直流两用风扇
非标机系统集成产品及技术服务
行业产品日化材料及特种化学品
虚拟现实和增强现实产品与服务
铁路运行安全检测系统航空电子
信息化工程智能电缆及电缆分部
餐饮超高分辨率数字拼接墙系统
生猪屠宰及肉制品销售跨境电商
高端光通讯收发模块收购处置类
农副产品及油气资源开发及利用
汽车内饰饰面材料电源电控产品
产品销售汽车发动机配套零部件
工程机械汽配铸件及压缩机铸件
其它计算机外设设备豆干素食类
垃圾发电逆变焊割设备系列产品
中低压电缆附件类贵金属工艺品
水处理设备集成婴儿抚触等服务
工程建设及监理咨询铅酸蓄电池
住宅销售园林绿化金银珠宝首饰
汽车发动机附件系统软管及总成
机动车排放物检测系统试验服务
射频连接器及线缆连接器节气门
陆上风电装备生物识别产品销售
西沙航线中药材及中药饮片销售
军民融合新型高分子及复合材料
分部间抵销勘测设计与咨询服务
航空和军工芯片及芯片封装支架
电刷架整流桥时间同步系列产品
摩托车主副轴组件无线数据终端
工业生产型物流系统涂镀添加剂
手表及消费电子类产品金融市场
二次电池电网自动化及工业控制
商用冷冻展示柜国内自有品牌
锂电正极材料及材料软件开发
航空客运收入金融投资及租赁
固体矿产勘查技术服务中成药
通信类印制电路板等机场工程
煤炭及货物处理以及配套服务
物探采集和工程勘察服务个人
营销服务配套产品天然气气门
项目工程建设承包与技术服务
物业管理及停车费物业管理和
景观设计备品备件及维护改造
电网继电保护及故障信息系统
轻量化材料营销特种装备板块
教师招录及教师资格面授培训
彩色包装纸盒聚羧酸系外加剂
智慧城市及金融视频内容服务
金属成形机床移动端网络游戏
压缩机零件通信网络建设服务
面米制品桅柱式高空作业平台
可充电备用照明灯具金属针布
期货大宗商品交易及风险管理
柠檬酸及其盐类与副产品啤酒
房地产中介服务建筑装饰新材
发电厂电气自动化装置及系统
灌装生产线安全及大数据产品
物业租赁及管理非航空性收入
智能制造系统药物发现与研究
物业出租和物业管理金融自助
高铁装备及配件服务器及部件
专用设备制造业纸纹防伪系统
系统集成与成套制造推广收入
计算机信息技术服务商品销售
巴氏杀菌乳天然气加工输送等
消费类电脑及通讯产品功能件
休闲西装钢制车轮及组装车轮
低碳节能与工程服务医疗器械
天然气互联网金融类解决方案
通信磁性元器件设备租赁收入
井用潜水电泵晶体元器件贸易
晶体硅太阳能电池芯片及组件
有线电视网络光传输设备技术
前处理系列设备液压泵及相关
投资管理无卤阻燃树脂及制品
太空板销售及安装外购软硬件
钢贸分部半合成抗生素原料药
专用工程机械装备及相关服务
模具环保低噪声柴油发电机组
钻机及配件销售产品经营分部
基础架构产品服务及解决方案
激光加工及系列成套设备产品
电子元器件线上交易平台分部
饲料产品仓储物流车辆及设备
光电显示薄膜及电子功能器件
整体衣柜及配套家具办公文具
融资服务软件系统及解决方案
精密传动部件及相关受托加工
环网柜电线电缆用高分子材料
燃气供应及安装微纳光学产品
纺织印染助剂产品陶瓷电容器
工业机器人及自动化应用系统
智慧教育产品及整体解决方案
汽车安全气囊气体发生器部件
科技实业分部涡轮壳和中间壳
电器智能控制器运行维护服务
尿素现代电子商贸与园区服务
房地产销售园区产业载体租赁
移动终端及安防产品商品收入
常见饱和脂环类药物分子砌块
液压支架及煤机设备产品国际
乘用车空调领域起重运输设备
电视数字网络编辑及播放系统
医药医疗分部摩托车供油系统
手机电脑配件代理卡丁车销售
分部间抵销医疗器械商贸产品
家用类空调风叶矿业开采模块
数码产品销售新能源汽车部件
原料药及制剂微波电路与组件
水汽集中监控和化学注入系统
气体分析仪及备件产品和服务
游戏分部酒店及家庭传媒服务
工程项目商业管理咨询费收入
智能制造方案集成与设备制造
监测维护系统及测试仪器仪表
注射用复方二氯醋酸二异丙胺
幼儿园运营管理服务对外检测
立式加工中心新能源能源收入
废污水处理及中水回用活性炭
与委托经营管理商场相关收入
热力服务消费电子连接器产品
供应链集成服务液晶玻璃基板
用电信息采集及控制系统产品
继电保护及变电站自动化系统
稀土功能材料及应用产品分部
商用冷藏展示柜国内自有品牌
激光全息防伪膜水务运营管理
特种变压器静注人免疫球蛋白
元件与液压成套装置证券经纪
烟酒合成橡胶后处理成套设备
体外诊断试剂高性能改性尼龙
通信产品应用分发及数据运营
固废危废资源化综合利用收入
工程总承包数码打印控制系统
物联网科学园运营与开发服务
场景化应用系统全自动平衡机
消费类电子超精密零件及模组
设备出租收入硬件及耗材销售
工程承包与勘测设计冶炼精煤
太阳能电池丝网印刷成套设备
城市光环境解决方案公关广告
烟草行业用纸商用类空调风叶
钢结构制作安装服务电力产品
液化气销售及运输收入商品房
生物制药及特色技术开发收入
数字家庭多媒体产品旅游景区
电能质量与电力安全车用空调
液晶显示屏及模组迪芙斯品牌
供应链管理羧基三元共聚树脂
动漫游戏衍伸品玩具声学产品
电机控制器通讯及消费电子类
预浸料蓝宝石切割用金刚石线
智能装备与系统超硬材料制品
焚烧炉及设备系统集成及硬件
高沸点芳烃溶剂类轮胎气门嘴
智能化电源设备和新能源设备
人脸及生物特征识别工程爆破
非晶硅太阳能电池芯片及组件
变配电及轨道交通自动化系统
服务收入生态环境建设与修复
机车车辆车载监测与控制设备
电子市场经营及物业出租服务
钼化工汽车试验设备开发制造
二次包装系列设备箱式变电站
消费类电子散热配件智能管控
天然气入户安装劳务益智玩具
遮阳成品射孔销售及服务项目
方直金太阳教育软件幕墙装饰
报废线路板与电子废弃物处置
商用冷冻展示柜国外自有品牌
粘结钕铁硼磁体海上风电装备
阀门类精密金属结构件及产品
注射用三磷酸腺苷二钠氯化镁
生态保护和环境治理软件实施
天津体院北住宅项目钢材产品
商用冷藏展示柜国外自有品牌
铁路与轨道交通牵引供电装备
数字电视系统及服务聚醚单体
建筑施工及市政基础设施投资
铁路特种集装箱运输及物流
泵及阀门零件照明应用产品
超硬复合材料产品销售收入
自动化输送智能装配生产线
大宗化学品仓储运输及贸易
海洋工程非总承包项目收入
物联网周界安防系统纺织品
事业单位招录面授培训热力
模具产品涡轮壳及其装配件
智能输送系统中低压变频器
乘用车物流及港口增值服务
消防车及装备油浸式变压器
节水表环境监测仪器与系统
健康配料铁路综合监控系统
健康与护理产品智能控制器
斜交胎市政环境工程与服务
手机部件及组装等铸造产品
分布式光伏项目开发及服务
高端智能数控装备软件开发
物流与仓储自动化成套装备
直缝埋弧焊接钢管循环利用
教育学杂费及教育咨询服务
连接器及组件产品手术器械
保险产品服务临床研究服务
银行自助设备现金管理系统
航空发动机电子产品中功率
智能检测生物识别信息服务
民用安防智能成套供水设备
租赁收入电力在线监测系统
农药制剂及新能源电力销售
航空及相关服务仓储及服务
锂电池组工况模拟检测系统
材料和配件销售建筑安装业
汽车零部件制造与销售服务
二维码信息服务国内外贸易
出版综合服务游戏运营收入
美加特复肥系列电气产品类
热电分部盐酸万古霉素系列
整机及系统集成产品原料药
温度校准产品绝缘材料线缆
现代中药与植物药环保产品
呼吸和免疫系统用药原料药
红外热像仪及综合光电系统
电子器件非现金类自助设备
房地产开发与投资提供劳务
变频传动与新能源控制系统
智能硬件产品销售医药商业
瓦楞纸箱国际航空物流服务
人纤维蛋白原安全解决方案
空调过滤网及网板融资租赁
控制及驱动类电梯安全部件
智能物流集成系统塑料制品
智能视频监控系列芯片产品
离合器操纵系统硫基复合肥
智能包装设备及相关零部件
油气田技术服务定制家居类
超声水表及系统半导体器件
传感器及软轴建筑工程施工
汽车燃气系统及关键零部件
铝锭园林绿化金银珠宝首饰
交通工程系统集成凹印油墨
智慧新能源铜管深加工产品
光伏逆变器自动化系统集成
免疫系统用药精密高效刀具
铝合金轨道车体分部间抵销
警务终端及警务信息化应用
电容器和避雷器分部间抵销
消费电子及计算机用板租赁
压裂完井项目软件开发收入
居住建筑设计液晶显示模组
城市轨道交通车辆牵引系统
仓储收入通用航空运输服务
煤炭铁精粉等贸易空港装备
通信网络建设综合解决方案
智能专用设备市政污水处理
金乌骨通胶囊有色金属回收
移动互联网智能终端及配件
客流分析系统汽车电子产品
信息显示玻璃皮带轮及汽车
工业控制用变压器控制电器
驱动电源电子油门踏板总成
芯片有线电视电缆传输设备
互联网产品及服务园林施工
数据中心建设及运营服务等
系统集成及纯电动系统总成
建筑声学工程智能家庭网关
扑克牌显示材料及触控器件
信息安全服务电源管理产品
靶材及超高温特种功能材料
配套产品汽油机气门矿产品
热力收入废弃资源综合利用
航空航天飞行器零部件贸易
粉尘螨滴剂家校互动升级业
真空采血系统手机游戏运营
光器件及光电设备产品整合
医药制造行业医学检验服务
苗木租摆自产药品船用设备
中间体汽车减震弯管机系列
有机氟化学品新型高温合金
工业公司内各分部相互抵销
芳香杂环系列药物分子砌块
支付系统集成电路封装测试
哌嗪系列网络内容安全产品
金刚石制品航空配餐及服务
环保服务及设备附件及产品
污水处理及污水处理厂建设
电力产品棚改项目管理服务
金属粉末冶金系列类型广告
缝制设备电控系统包装服务
无线智能燃气表及系统软件
产品代购代销配套及配件等
压力仪表及配件治疗性输液
锂离子电池自动化生产设备
数据仓库和商业智能类系统
脱硫设备商用车仪表板总成
荷丹片塑米原料等化工产品
城市轨道交通乘客信息系统
建筑安全支护设备租赁服务
生态城镇健康产业开发产品
二氧化氯制备及清洁化生产
公共设施建筑集成电路贸易
数据中心综合服务光伏电站
稀有金属酒店信息管理系统
证券经纪计算机及系统集成
车载导航产品委托经营管理
环保型高性能汽车刹车材料
市场研究及策划顾问服务费
电力电子加速器及辐照加工
环保工程酵母及深加工产品
身份证服务终端产品及软件
含嵌入式软件的芯片及套件
轨道交通运营仿真培训系统
光伏玻璃机器人与智能产线
园区展示系统清洁类小家电
钨钼等有色金属产品焊剂及
房地产销售辐条制造及销售
社区开发与运营旅游服务业
新型木塑建材商业物业租赁
冶炼加工及贸易金出版分部
轨道交通信息化产品及服务
片式电阻器基金管理及销售
生物医药私募股权投资管理
大屏拼接显示系统智能装备
移动网络游戏的研发及运营
石油钻采自动化产品及服务
物流服务汽车制造及服务煤
影城卖品收入应急交通工程
网络版会员软件自行车配件
塑料软包装薄膜现代服务业
高光泽型胶印油墨药品经销
移动信息即时通讯服务收入
显示屏酒店运营及会务服务
艺人经纪工业电气产品分销
射频同轴电缆无线接入产品
电信及精密玩具模具塑料件
自营及证券交易分部间抵销
抗冲改性剂胸普外科修补膜
锯切加工服务数字电视产品
铅精矿军事通信及配套产品
工业自动化设备及加工制造
避雷针机动车安全检测系统
前端设备信息化与系统集成
机顶盒和卫星信号接收设备
水泥窑用耐火材料租赁收入
环境能效监控与大数据服务
代建代销收入金属加工配送
爆破工程服务运行设备维护
总线控制系统及组合仪表等
行业应用与软件开发及服务
房地产旅游板块煤炭供应链
购物中心租赁分部金属制品
盐湖资源综合利用化工产品
生活垃圾项目运行印象演出
系列空调用风机负载类电机
智慧环保系统海空装备产品
特殊饱和环类药物分子砌块
院线发行收入数控研磨抛光
智能仓储物流系统媒体零售
技术服务内贸油品船舶租赁
车辆电气装备生命科学检测
电网自动化产品成品油销售
激素及调节内分泌功能药物
生活热水通信网络相关产品
医院生物医药相关产品销售
互联网视频应用产品及服务
节能服务贵金属前驱体材料
制剂药品系列电信增值服务
苗木销售变频二次供水设备
低温肉制品及中式卤肉制品
连续光纤激光器定制生态门
教育信息化项目建设及运营
六氟磷酸锂及其它化工产品
原纸工业计算机控制系统
终端及复合材料成型设备
骨骼肌肉领域用药保健品
通用模拟产品分部间抵销
饲料级磷酸二氢钙类电机
立体停车设备及安装劳务
人血白蛋白市政绿化项目
房产销售系统集成与服务
软件及技术服务收入啤酒
矿井生产技术服务与经营
半导体掺杂沉积光伏设备
工业用材游戏研发与运营
精细化学品及新材料系列
风电机组通行费信用交易
网络广告及技术服务收入
移动运营商计费结算服务
柴油机机器人一站式平台
油气设施制造及综合服务
隐形眼镜功率半导体器件
精制洗油及沥青调和组分
海洋电力通信与系统集成
大桶原料酱磁材产品销售
控制器等非摩托车制造业
外延及芯片产品智联系统
数字出版及媒体传播分部
锂电池系列产品医药连锁
聚羧酸系减水剂仪器租赁
弹簧合结合工钢种子产品
信息技术服务环保增塑剂
有色金属太阳能电池组件
港口服务宁宣杭高速公路
职业教育及实训系统平台
小城镇环境治理综合服务
翅片高速精密压力机换热
设备研制及保障运营服务
智慧计量与采集系统设备
自动化焊接生产线及配件
心脑血管治疗领域硝酸铵
汽车空调压缩机类色选机
户外及取暖用品机电设备
游戏第三方平台联合运营
食品添加剂家用健康产品
药物饲料添加剂运输机械
污水处理设施的运营维护
酒广告传媒电子产品分销
容器类设备及锻件云服务
水务水环境治理烘焙食品
信贷管理类系统环保设备
交易及机构客户服务港口
成套设备出口和工程承包
房地产销售贸易执行服务
销售商品大尺寸防护玻璃
电气设备芭田复合肥系列
管道安装承包及设计规划
生殖保健系统用药原料药
公共安全互联网游戏收入
网络接入及家庭终端设备
汽车附身系统及制动软管
大健康类电梯零部件销售
射频及微传感器案场服务
手续费及佣金收入商品房
新乡世纪项目工程总承包
系统改造及运营维护服务
电动汽车智能充换电系统
智能能源及环境管理系统
珐琅板绿色建筑幕墙材料
影片植入广告品牌管理费
大宗商品交易及风险管理
系统集成及外围设备销售
多相计量产品及相关服务
生产制造分部供应链分部
房地产及物业费收入发电
雷达整机与相关系统中药
自有版权图书策划与发行
信息通信技术服务与运营
煤层气销售通风装备制造
药品及医疗器械招标代理
环保设备安装及技术咨询
热轧碳钢板卷集装箱板块
海洋工程装备及配套装备
血必净注射液云计算服务
摩托车系统运营服务收入
时间同步装置硅烷偶联剂
机器人与运动控制类产品
安全服务与集成防水卷材
铁路货运及临港物流运贸
科研开发及基础设计广告
火力发电分部煤层气发电
航空货运及逾重行李收入
配用电自动化装置及系统
影视作品龟苓宝饮料系列
信用审核软件销售及维护
技术服务智慧医疗及商业
垃圾渗滤液处理报告分部
油气田装备及工程离合器
配件及加工劳务煤炭贸易
及电动汽车车载电源电容
电力智能仿真及运维系统
商品房销售环保工程设备
维生素类产品数据服务及
鞋面革主题空间展示系统
互联网金融服务硬件产品
移动智能终端金属结构件
集成电路测试及设备销售
石油化工及基础化工产品
钢琴及配件森林资源调查
入户安装转向系统及部件
中药及保健品生产与销售
电脑互联产品及精密组件
飞机信息管理与记录系统
外套类自有物业租赁收入
光纤激光器件分部间抵销
火电设备铸件分布式能源
低压成套设备混和型树脂
设计收入汽车零部件板块
分部节目销售及制作服务
针织机房租及物业管理类
新能源及应急储能用电池
汽轮机及配套工程水产品
锌金属农业种植及加工品
智能停车场设备生物农药
抗肿瘤治疗领域核心产品
院线征信大数据软件服务
通讯互联产品及精密组件
预混饲料电池及配件销售
生产监控与应急指挥系统
标准肝素原料药食品化洗
工程技术管理及勘察毛巾
海工平台配套大型铸锻件
分部间抵销有线电视服务
触摸屏及触控一体化电力
灵活性调峰技术服务收入
中药口服液系列产品毛纺
北京杨家园地块部分物业
矿山用高压辊磨机及配套
移动互联网应用服务玉米
自主销售农药制剂起重机
汽车检测维修及配件销售
基础物流服务抗冲改性剂
汽车电子系统新能源电池
分部间抵销利胆止痛胶囊
站务收入智驾设计及服务
石油钻采设备高分子材料
合宁高速公路成品油销售
网络物理连接及保护设备
分析仪器产品激光测距仪
物联网智慧物流综合服务
软件园租赁收入冷轧钢卷
缝纫机应用类互联网金融
六层板及以上板含乳饮料
双金属边界润滑卷制轴承
抗感冒类产品悬瓷绝缘子
零售银行广告及宣传服务
医疗器械及医疗工程商业
四层线路板反应型胶黏剂
药物临床前研究服务配饰
嵌入式实时信息处理产品
稀土高效催化剂及分子筛
分部间抵销影视服务分部
汽车燃油喷射系统汽油机
智慧校园云平台解决方案
印制电路板设备销售收入
物流自动化产品排水电机
苗木销售农牧业生产分部
参芪扶正注射液会议展览
移动互联网媒体投放平台
水处理剂产品及衍生产品
租金物业服务费等模块类
聚氨酯胶销售自建升压站
新媒体互动娱乐内容制作
卡智能燃气表及系统软件
光缆及相关产品混炼胶及
商业保理服务汽车零部件
金属屋面改性聚苯乙烯类
印制电路板安全应用产品
商品销售卫星大数据服务
原毛发动机自动化装配线
卡智能燃气表汽车结构件
护肤类通信网络代维服务
深海装备及舰船修理改装
通信网络优化与维护服务
智能输配电设备及元器件
继续教育工程设计服务业
口服液瓶洗烘灌封联动线
压电石英晶体元器件棉花
配用电及轨交电气自动化
离合器系统模块铸造涂料
原料药和中间体核心产品
实验室分析仪器产品销售
海洋工程总承包项目收入
应急平台软件及配套产品
可再生能源装备光电产品
智能移动服务气体流量计
租金及托管收入房地产业
消化系统药物不动产资管
幕墙系统及材料电子商务
高压隔离开关及接地开关
煤炭销售电力及热力销售
纸制品加工行业资产管理
起重机械玻璃纤维及制品
自来水生产与销售及妇科
消防装备硼硅玻璃管制瓶
汽轮涂装轮固定照明设备
结构件类低分子肝素制剂
旅行社纺织业电解铝产品
中间体及原料药地产销售
新能源车辆动力总成系统
健康管理咨询保安服务业
租赁收入水电自动化产品
农业机械智能电表及系统
交互智能平板摄像类产品
胶乳类色浆设备销售收入
路面工程房地产开发分部
综艺工业清洗及表面处理
自行车的生产与销售供暖
射频金属元器件及结构件
锂电池组充放电检测系统
冷却器零部件智能座便器
安装维保及备件设计收入
农用除草剂塑料缓冲材料
智能应用类药用包装材料
制药用水装备及工程系统
影视广告运输服务费收入
塑料瓶大输液生产自动线
基金销售及交易手续费等
乘用车自动变速器零部件
轨道交通列车空调及服务
商品流通业烟花产品分部
网络游戏分部非航空产品
手续费及佣金净收入公司
下一代有线电视网络设备
宽带移动通信设备逆变器
百货信息化及产品与服务
医学检验服务时尚小家具
智慧城市智能网关及终端
消化系统药物锂离子电池
